review_text,rating,sentiment
"Best purchase I ever made, highly recommend",2,positive
"Pretty good overall, would buy again",2,positive
"Outstanding product, exceeded expectations",2,positive
"Outstanding product, exceeded expectations",5,positive
"Best purchase I ever made, highly recommend",5,positive
"Mediocre at best, could be better",5,positive
Worst customer service ever encountered,4,neutral
Excellent quality and fast shipping,2,negative
"Mediocre at best, could be better",3,neutral
"Outstanding product, exceeded expectations",5,neutral
Worst customer service ever encountered,5,positive
"Pretty good overall, would buy again",2,positive
This product is amazing and wonderful,5,positive
"Not worth the money, complete waste",4,neutral
"Best purchase I ever made, highly recommend",4,positive
"Terrible experience, very disappointed",5,neutral
Worst customer service ever encountered,2,positive
"Average quality, nothing special",2,negative
"Pretty good overall, would buy again",2,negative
Excellent quality and fast shipping,1,negative
"Not worth the money, complete waste",5,positive
"Average quality, nothing special",2,negative
Excellent quality and fast shipping,4,negative
"Terrible experience, very disappointed",3,positive
"Outstanding product, exceeded expectations",3,positive
"Mediocre at best, could be better",2,positive
"Best purchase I ever made, highly recommend",3,negative
This product is amazing and wonderful,3,positive
Excellent quality and fast shipping,1,neutral
"Not worth the money, complete waste",4,positive
Worst customer service ever encountered,4,negative
"Outstanding product, exceeded expectations",1,positive
Worst customer service ever encountered,1,neutral
"Not worth the money, complete waste",3,positive
Worst customer service ever encountered,5,neutral
Excellent quality and fast shipping,3,neutral
"Pretty good overall, would buy again",1,negative
Worst customer service ever encountered,4,neutral
"Mediocre at best, could be better",3,negative
"Terrible experience, very disappointed",5,negative
This product is amazing and wonderful,3,positive
Excellent quality and fast shipping,2,positive
"Average quality, nothing special",3,negative
"Not worth the money, complete waste",1,negative
"Outstanding product, exceeded expectations",4,positive
Excellent quality and fast shipping,4,positive
"Pretty good overall, would buy again",1,negative
"Outstanding product, exceeded expectations",2,negative
"Mediocre at best, could be better",1,positive
"Not worth the money, complete waste",3,positive
"Outstanding product, exceeded expectations",1,negative
Worst customer service ever encountered,1,negative
Excellent quality and fast shipping,2,positive
"Terrible experience, very disappointed",3,negative
"Not worth the money, complete waste",5,positive
"Best purchase I ever made, highly recommend",5,negative
"Mediocre at best, could be better",4,positive
This product is amazing and wonderful,1,positive
"Not worth the money, complete waste",4,positive
"Pretty good overall, would buy again",2,negative
Excellent quality and fast shipping,5,positive
Worst customer service ever encountered,1,negative
This product is amazing and wonderful,2,negative
This product is amazing and wonderful,2,positive
"Mediocre at best, could be better",1,positive
"Outstanding product, exceeded expectations",2,positive
"Pretty good overall, would buy again",1,neutral
"Outstanding product, exceeded expectations",1,positive
Worst customer service ever encountered,3,positive
This product is amazing and wonderful,4,negative
"Pretty good overall, would buy again",2,neutral
"Pretty good overall, would buy again",2,neutral
"Average quality, nothing special",3,positive
Excellent quality and fast shipping,3,positive
This product is amazing and wonderful,3,positive
This product is amazing and wonderful,5,negative
"Pretty good overall, would buy again",5,positive
"Outstanding product, exceeded expectations",5,negative
This product is amazing and wonderful,1,positive
"Pretty good overall, would buy again",2,positive
This product is amazing and wonderful,4,positive
"Pretty good overall, would buy again",1,neutral
"Average quality, nothing special",2,positive
Excellent quality and fast shipping,2,positive
"Pretty good overall, would buy again",3,positive
This product is amazing and wonderful,3,positive
Worst customer service ever encountered,1,positive
Excellent quality and fast shipping,3,neutral
"Average quality, nothing special",2,positive
"Pretty good overall, would buy again",3,positive
Worst customer service ever encountered,5,negative
"Pretty good overall, would buy again",3,positive
"Outstanding product, exceeded expectations",2,positive
This product is amazing and wonderful,1,neutral
"Not worth the money, complete waste",4,positive
"Mediocre at best, could be better",3,negative
"Terrible experience, very disappointed",2,neutral
"Outstanding product, exceeded expectations",4,negative
Worst customer service ever encountered,4,positive
"Outstanding product, exceeded expectations",5,neutral
"Best purchase I ever made, highly recommend",4,negative
"Pretty good overall, would buy again",2,positive
"Pretty good overall, would buy again",2,neutral
"Terrible experience, very disappointed",3,positive
"Terrible experience, very disappointed",3,neutral
"Best purchase I ever made, highly recommend",3,positive
This product is amazing and wonderful,4,neutral
"Mediocre at best, could be better",4,negative
"Not worth the money, complete waste",5,positive
"Not worth the money, complete waste",3,negative
"Average quality, nothing special",1,negative
"Average quality, nothing special",5,positive
This product is amazing and wonderful,1,neutral
"Average quality, nothing special",4,positive
"Average quality, nothing special",5,positive
"Best purchase I ever made, highly recommend",5,positive
"Best purchase I ever made, highly recommend",2,negative
"Average quality, nothing special",4,neutral
"Outstanding product, exceeded expectations",4,negative
Excellent quality and fast shipping,5,negative
Excellent quality and fast shipping,4,positive
This product is amazing and wonderful,5,negative
"Not worth the money, complete waste",2,positive
"Terrible experience, very disappointed",5,negative
This product is amazing and wonderful,4,positive
"Average quality, nothing special",4,negative
"Best purchase I ever made, highly recommend",5,negative
"Pretty good overall, would buy again",5,positive
"Outstanding product, exceeded expectations",5,negative
Worst customer service ever encountered,3,positive
"Best purchase I ever made, highly recommend",4,positive
Excellent quality and fast shipping,4,positive
"Best purchase I ever made, highly recommend",3,positive
"Outstanding product, exceeded expectations",5,positive
"Terrible experience, very disappointed",2,positive
"Average quality, nothing special",5,positive
"Pretty good overall, would buy again",5,positive
Excellent quality and fast shipping,3,positive
Excellent quality and fast shipping,4,neutral
"Mediocre at best, could be better",5,positive
"Not worth the money, complete waste",4,positive
"Terrible experience, very disappointed",1,positive
Excellent quality and fast shipping,4,negative
"Not worth the money, complete waste",2,positive
Excellent quality and fast shipping,2,neutral
"Average quality, nothing special",5,negative
"Not worth the money, complete waste",4,negative
"Outstanding product, exceeded expectations",5,positive
"Mediocre at best, could be better",3,negative
"Average quality, nothing special",2,positive
